Title,Url,Category,Views,Activity,Replies,Content,
,,,,,,tgfeminella,"After reading that the h.264 capable Logitech C930e was faster than the stock Genius webcam in this <a href=""https://forum.openrov.com/t/what-usb-camera-might-we-want-in-the-next-openrov-kit-or-addon/2294/5?u=tgfeminella"">thread</a>, I decided to try out this cheap <a href=""https://www.amazon.com/gp/product/B00VDSBH9G/ref=oh_aui_detailpage_o00_s00?ie=UTF8&amp;psc=1"" rel=""nofollow noopener"">720p h.264 camera</a>. For the price, I figured it was worth trying out. When first starting cockpit, it works great. The frame rate is good, and the image is clearer in low light. However, the latency will jump dramatically after a few seconds. I also noticed that the CPU usage and ping are higher than usual. Everything is normal if I switch back to the Genius webcam.  The CPU usage on my PC is also higher than usual, but none of my cores are maxed. I plugged the camera into my computer, and there were no issues at all, so I donâ€™t think the camera is faulty.Considering this is a 720p camera, and the config.js setting is â€˜SXGAâ€™, could the issue be with video scaling? Nowhere in the code could I find the definition for â€˜SXGAâ€™, although I know this to be 1280x1024. What input format does the resolution option in config.js expect? What other possible causes might there be?<a class=""mention"" href=""/u/badevguru"">@badevguru</a>, considering that this camera is h.264 capable, I would be interested in testing the new HD-camera upgrade image with it to see if that would resolve my latency issue. Are you planning to release that image anytime soon?Thank you.<br>
<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/4/494183fe6e0b6dbc7948a43e8be6142b9f055f15.jpg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/494183fe6e0b6dbc7948a43e8be6142b9f055f15"" title=""20161009_145246.jpg"" rel=""nofollow noopener""><img  width=""281"" height=""500""><div class=""meta"">
<span class=""filename"">20161009_145246.jpg</span><span class=""informations"">1836x3264 1.19 MB</span><span class=""expand""></span>
</div></a></div><div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/8/8fb7fa272452fa914ef0ba39a64943bc10ff5527.jpg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/8fb7fa272452fa914ef0ba39a64943bc10ff5527"" title=""20161009_145300.jpg"" rel=""nofollow noopener""><img  width=""281"" height=""500""><div class=""meta"">
<span class=""filename"">20161009_145300.jpg</span><span class=""informations"">1836x3264 1.07 MB</span><span class=""expand""></span>
</div></a></div>"
,,,,,,tgfeminella,"I ended up just ordering the <a href=""http://store.openrov.com/collections/accessories/products/pro-camera-hd-upgrade"" rel=""nofollow noopener"">HD Camera Upgrade</a>, but I still want to get this cheap camera working. Iâ€™ll have no need for it because it wonâ€™t rival the OpenROV HD Camera. However, it might be an option for others if I can get it working properly."
,,,,,,TCIII,"<a class=""mention"" href=""/u/tgfeminella"">@tgfeminella</a>,<br>
I too have ordered the Pro Camera-HD Upgrade. It will be on my doorstep on Monday via FedEx.<img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:""><br>
Indeed it will be interesting see how it compares to the standard HD camera.<br>
I actually have two Controller Board Assemblies. One with the standard HD camera and one that will have the Pro Camera-HD Upgrade camera. That way it will be easy to swap them out if there is a problem with the upgrade.<br>
Regards,<br>
TCIII AVD"
,,,,,,jimmy,"Hi I  use  a Logitech  C910 -B910   Modified whit a Gopro 170 degree wide angle lens, disable auto focus,work Good,<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/9/9ca959a1bf80f81f7f9e17b8e4167600deeff841.jpg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/9ca959a1bf80f81f7f9e17b8e4167600deeff841"" title=""20161016_135519.jpg"" rel=""nofollow noopener""><img  width=""666"" height=""500""><div class=""meta"">
<span class=""filename"">20161016_135519.jpg</span><span class=""informations"">4128x3096 2.26 MB</span><span class=""expand""></span>
</div></a></div><div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/7/792a5182886362a87b1413e9a7e3e836053d7e3c.jpg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/792a5182886362a87b1413e9a7e3e836053d7e3c"" title=""20161016_135740.jpg"" rel=""nofollow noopener""><img  width=""666"" height=""500""><div class=""meta"">
<span class=""filename"">20161016_135740.jpg</span><span class=""informations"">4128x3096 3.5 MB</span><span class=""expand""></span>
</div></a></div>"
How to collected date from IMU,https://forum.openrov.com/t/how-to-collected-date-from-imu/4757,Add-ons / Accessories,784,Oct '16,3,How to collected date from IMU - Add-ons / Accessories - OpenROV Forums,
,,,,,,,
,,,,,,Trinh,"Thanks to Nima <a class=""mention"" href=""/u/nimatorabi"">@NimaTorabi</a>ï¼Œ I had fix my broken control board. Now I could  go on using OpenROV.Thank you very much.<br>
i wanna do the research on the relationship between the speed of the motor and the velocity of the rov. This are used for establishing the dynamics model of the rov and thus thousands of dates should be collected and restored. So  how can i can get considerable imu 's dates  and send them to the computer for date analysisï¼Ÿ"
,,,,,,Trinh,Hi @badevguru~ could you give me some suggestionï¼Ÿ
,,,,,,Golden,"tong lu a ! omg<br>
yamiedie"
,,,,,,badevguru,"Trinh I hope you were able to find the posts in the forum that discuss exactly how to go about this.  There is the default download of the data in json format, and other topics on modifying the Arduino firmware to expose the raw accelerometer and gyro data."
Unable to see rostopic,https://forum.openrov.com/t/unable-to-see-rostopic/4861,OpenROV 2.5 - 2.8,420,Oct '16,0,Unable to see rostopic - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,kelvin_hengc,"Hi, I have installed ROS and roslib following the instructions from <a href=""https://github.com/OpenROV/plugin-roslibjs/tree/master/Docs"" rel=""nofollow noopener"">here</a>.When i open the cockpit I can see that the ros plugin is enabled. I am also able to see the topics for the webcam. I have launched the respective nodes on my laptop. However I am unable to to see the OpenROV topics such as â€œ/openrov/statusâ€I am wondering if i could get some help in getting ros to work."
Camera upgrade kit optics/resolution options,https://forum.openrov.com/t/camera-upgrade-kit-optics-resolution-options/4852,Add-ons / Accessories,1.0k,Oct '16,4,Camera upgrade kit optics/resolution options - Add-ons / Accessories - OpenROV Forums,
,,,,,,,
,,,,,,k11,"Hi,Iâ€™m would like to know if there has been any testing of the camera upgrade kit running at 2688 x 1520 ?I see from the data sheet that it is a possible resolution fro the OV4689, and some references to that in the geo-video stuff in the dev github. The other thing is I canâ€™t seem to find much on how the gc6500 integrates, aside from a couple of binary firmware files and uvcvideo module references. Is the gc6500 firmware open?<br>
Iâ€™m looking at some structure from motion/phtogramettery applications and would appreciate finer grained control over the camera. I donâ€™t mind getting my hands dirty with driver code though!Thanks"
,,,,,,k11,"With respect to the optics of the corrective lense through the port, are there any baseline parameters for lense correction? I have an agisoft photoscan license, and the parameters iâ€™d be looking for areCalibration parameters list<br>
fx, fy<br>
Focal length in x- and y-dimensions measured in pixels.<br>
cx, cy<br>
Principal point coordinates, i.e. coordinates of lens optical axis interception with sensor plane.<br>
skew<br>
Skew transformation coefficient.<br>
k1, k2, k3, k4<br>
Radial distortion coefficients.<br>
p1, p2<br>
Tangential distortion coefficients."
,,,,,,badevguru,"Iâ€™m would like to know if there has been any testing of the camera upgrade kit running at 2688 x 1520We have not tested yet. Technically it is possible, but not at 30fps.  We can create a configuration file to enable the ability and we can make that configuration open to everyone.  Unfortunately we donâ€™t have documentation on what those settings need to be that we can distribute.  If you would like to try it Iâ€™m happy to kick it up to our vendor to generate the config file.I canâ€™t seem to find much on how the gc6500 integrates, aside from a couple of binary firmware files and uvcvideo module references. Is the gc6500 firmware open?The gc65000 firmware (inside the camera) is closed.  With a small modification to the standard linux uvc-driver, the camera presents itself as a  standard UVC video camera.  All of the settings that can be changed in the camera via the UVC interface are made available in the file below:With respect to the optics of the corrective lense through the port, are there any baseline parameters for lense correctionGreat question.  These are all numbers we are interested in getting as well to dial in the image. Iâ€™ll have to ask our vendor if they can calculate them for us."
,,,,,,k11,"Thanks for the response. When I actually get my hands on it Iâ€™ll play around with different configs.<br>
Re: Calibration, I realised that the Lens software included with photoscan can be used with a printed calibration chessboard, which means I donâ€™t have to figure out how to take my monitor underwater! Once Iâ€™m up and running Iâ€™ll post some examples of calibration parameters."
,,,,,,k11,"Also, perhaps issues <span class=""hashtag"">#551</span> and <span class=""hashtag"">#553</span> can be solved by using the force_iframe command from the api as video starts."
Which pin of the arduino that the esc is connected to,https://forum.openrov.com/t/which-pin-of-the-arduino-that-the-esc-is-connected-to/4843,OpenROV 2.5 - 2.8,676,Oct '16,1,Which pin of the arduino that the esc is connected to - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,Golden,"I was reading the SCH of the controeller board of 2.8 and I came up with a samll problem<br>
The SCH indicates that the ESC_3A to ESC_3C is connected to J16A to J16C, but I couldnâ€™t find which arduino pin that the J16A to C represent. Or are they directly connected to the brushless motor.<br>
<img  width=""402"" height=""449""><br>
Besides, there may be a pwm wire of the esc that is connected to arduino so that I can adjust the rotate speed by using the code. So which pin of the arduino that the PWM sire of the esc is connected to.<br>
I have already managed to make the motor rotate by using my own code but I am still facing a very wired problem:<br>
Situation 1: I unplug the pwm wire of the esc from the controller board with other wires still attached  and connect the pwm wire to my own arduino UNO. I then burn the code that is for the PWM signal to the UNO and power the ROV on. It turns out that the motor successfully rotate.<br>
Situation 2: I didnâ€™t unplug anything from the controllerboard, I just burn the code that was in the UNO to the controller board , I powered the ROV again but the motor didnâ€™t rotate. And i donâ€™t know why. I assume that my code has erase some original  necessary code for the rotation<br>
To better illustrate, a handdrawing is shown below:<br>
<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/1/14bde6588ec1642221698a28d3f393e4dcbe5db0.jpg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/14bde6588ec1642221698a28d3f393e4dcbe5db0"" title=""pwm.jpg"" rel=""nofollow noopener""><img  width=""666"" height=""500""><div class=""meta"">
<span class=""filename"">pwm.jpg</span><span class=""informations"">1280x960 27.9 KB</span><span class=""expand""></span>
</div></a></div><br>
Any one can give me some advice<br>
Many thanks."
,,,,,,Walt_Holm,"The five connections on J16 are the five pads to which the ESC is soldered- one for battery power, one for ground, and three for motor outputs.  The labels ESC_3A to ESC_3C are for pins in the DB-25 connector.  See the DB-25 connector pinouts on sheet 2 of the schematic.Each of the three ESCs gets its servo input from a connection to the Servo Output block on the controller board, J20.  Arduino channels D6, D7, and D8 are used to drive the three ESCs.  See the upper right corner of sheet 2 of the schematic.Hope that helps.-W"
OpenROV 2.3/4 Build Guide?,https://forum.openrov.com/t/openrov-2-3-4-build-guide/4850,OpenROV 2.4 and Below,674,Oct '16,1,OpenROV 2.3/4 Build Guide? - OpenROV 2.4 and Below - OpenROV Forums,
,,,,,,,
,,,,,,justin4,"I am unable to find a complete build guide for the 2.3/4 version. Iâ€™ve found a series of YouTube videos, but they are missing many critical steps. Iâ€™ve tried to consult the 2.5 guide, but there are significant hardware differences and I am now unable to proceed.Could someone please point me in the direction of a complete 2.3/4 build guide? Was there any earlier Wiki with this information that has somehow been lost to the ages? Any help would be greatly appreciated."
,,,,,,Walt_Holm,"Hi Justin:Its been a long time since I worked on a 2.4 model, but if I remember correctly the YouTube videos were the only build guides that were provided.  What build step are you stuck on?-W"
,,,,,,[SOLVED] Questions about Trident before pre-ordering - Trident - OpenROV Forums,
